Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
"VACCINES (PURE, COMB, OTHER)",2020,3,0.057116520015151474,42.0,0.0,0.0,0.0,0.0,208.44481693097208,292.4616267709513,264.33036282349116
"VACCINES (PURE, COMB, OTHER)",2020,4,0.0514537360382516,42.0,0.0,0.0,0.0,0.0,156.33942271423564,240.19253568028202,243.31293937463943
"VACCINES (PURE, COMB, OTHER)",2020,5,0.049036426773498114,42.0,0.0,0.0,0.0,0.0,141.67866677345165,220.52118314401702,235.05105978904209
"VACCINES (PURE, COMB, OTHER)",2020,6,0.0498003695973438,42.0,0.0,0.0,0.0,0.0,146.07724812069878,225.84969231114093,237.5102791373314
"VACCINES (PURE, COMB, OTHER)",2020,7,0.051510052075834575,42.0,0.0,0.0,0.0,0.0,157.24408325039911,242.0307044004055,243.63466556779926
"VACCINES (PURE, COMB, OTHER)",2020,8,,,,0.0,,0.0,,,252.879691807104
"VACCINES (PURE, COMB, OTHER)",2020,9,,,,20.0,,0.472222222,,,280.32047645973114
"VACCINES (PURE, COMB, OTHER)",2020,10,,,,0.0,,0.0,,,287.04581727676816
"VACCINES (PURE, COMB, OTHER)",2020,11,,,,2.0,,0.055555556,,,289.4922558547861
"VACCINES (PURE, COMB, OTHER)",2020,12,,,,0.0,,0.0,,,280.01518848246843
"VACCINES (PURE, COMB, OTHER)",2021,1,,,,0.0,,0.0,,,273.5470724825389
"VACCINES (PURE, COMB, OTHER)",2021,2,,,,20.0,,0.472222222,,,262.7804083416594
"VACCINES (PURE, COMB, OTHER)",2021,3,,,,0.0,,0.0,,,265.7239124294483
"VACCINES (PURE, COMB, OTHER)",2021,4,,,,0.0,,0.0,,,248.90774804238026
"VACCINES (PURE, COMB, OTHER)",2021,5,,,,0.0,,0.0,,,240.08012176560803
"VACCINES (PURE, COMB, OTHER)",2021,6,,,,0.0,,0.0,,,241.5650130640453
"VACCINES (PURE, COMB, OTHER)",2021,7,,,,,,,,,243.95587097269868
"VACCINES (PURE, COMB, OTHER)",2021,8,,,,,,,,,254.2609153874103
"VACCINES (PURE, COMB, OTHER)",2021,9,,,,,,,,,284.8873975224034
"VACCINES (PURE, COMB, OTHER)",2021,10,,,,,,,,,293.46679924865686
"VACCINES (PURE, COMB, OTHER)",2021,11,,,,,,,,,293.3184977153369
"VACCINES (PURE, COMB, OTHER)",2021,12,,,,,,,,,282.6980214416841
"VACCINES (PURE, COMB, OTHER)",2022,1,,,,,,,,,274.2491665299171
"VACCINES (PURE, COMB, OTHER)",2022,2,,,,,,,,,268.4098018493653
"VACCINES (PURE, COMB, OTHER)",2022,3,,,,,,,,,267.1379725033806
"VACCINES (PURE, COMB, OTHER)",2022,4,,,,,,,,,254.5492242810064
"VACCINES (PURE, COMB, OTHER)",2022,5,,,,,,,,,245.07396887658862
"VACCINES (PURE, COMB, OTHER)",2022,6,,,,,,,,,245.53744500124446
"VACCINES (PURE, COMB, OTHER)",2022,7,,,,,,,,,244.2496691876896
"VACCINES (PURE, COMB, OTHER)",2022,8,,,,,,,,,255.72243143074647
"VACCINES (PURE, COMB, OTHER)",2022,9,,,,,,,,,289.5388130444078
"VACCINES (PURE, COMB, OTHER)",2022,10,,,,,,,,,299.87466759371915
"VACCINES (PURE, COMB, OTHER)",2022,11,,,,,,,,,297.07341270698896
"VACCINES (PURE, COMB, OTHER)",2022,12,,,,,,,,,285.3288664113791
